XY-ZMF;25-03-2015;25-03-2015;25-03-2015;25-03-2015;false;;240315-TZL-BUD-6414-XY-ZMF;BUD;TZL;advanced condition failed
XY-ZDY;16-07-2010;16-07-2010;16-07-2010;16-07-2010;false;;150710-LHR-BGO-7718-XY-ZDY;BGO;LHR;advanced condition failed
XY-OFW;15-02-2014;15-02-2014;15-02-2014;15-02-2014;false;;140214-JTR-BJV-8995-XY-OFW;BJV;JTR;advanced condition failed
XY-ALV;13-12-2011;13-12-2011;13-12-2011;13-12-2011;false;;121211-PIK-PMO-2366-XY-ALV;PMO;PIK;advanced condition failed
XY-YTM;25-04-2014;25-04-2014;25-04-2014;25-04-2014;false;;240414-AAR-CFU-1265-XY-YTM;CFU;AAR;advanced condition failed
XY-OFW;09-10-2015;09-10-2015;09-10-2015;09-10-2015;false;;081015-ZAG-LTN-8585-XY-OFW;LTN;ZAG;advanced condition failed
XY-ZMF;17-06-2013;17-06-2013;17-06-2013;17-06-2013;false;;160613-BJV-SOF-8162-XY-ZMF;SOF;BJV;advanced condition failed
XY-OFW;14-09-2010;14-09-2010;14-09-2010;14-09-2010;false;;130910-NUE-CPH-6973-XY-OFW;CPH;NUE;advanced condition failed
XY-ZMF;19-03-2010;19-03-2010;19-03-2010;19-03-2010;false;;180310-SNN-ORY-1726-XY-ZMF;ORY;SNN;advanced condition failed
XY-NHZ;10-12-2015;10-12-2015;10-12-2015;10-12-2015;false;;091215-LPA-BJV-2514-XY-NHZ;BJV;LPA;advanced condition failed
XY-OFW;08-10-2010;08-10-2010;08-10-2010;08-10-2010;false;;071010-WMI-MXP-2871-XY-OFW;MXP;WMI;advanced condition failed
XY-IOO;10-11-2010;10-11-2010;10-11-2010;10-11-2010;false;;091110-ALA-CIA-7226-XY-IOO;CIA;ALA;advanced condition failed
XY-OHF;07-03-2012;07-03-2012;07-03-2012;07-03-2012;false;;060312-JMK-CDG-1296-XY-OHF;CDG;JMK;advanced condition failed
XY-ALV;21-08-2016;21-08-2016;21-08-2016;21-08-2016;false;;200816-BMA-BLL-6515-XY-ALV;BLL;BMA;advanced condition failed
XY-YTM;07-07-2010;07-07-2010;07-07-2010;07-07-2010;false;;060710-RUN-GRQ-6986-XY-YTM;GRQ;RUN;advanced condition failed
XY-IWX;05-09-2014;05-09-2014;05-09-2014;05-09-2014;false;;040914-VCE-RHO-1776-XY-IWX;RHO;VCE;advanced condition failed
XY-IWX;15-09-2012;15-09-2012;15-09-2012;15-09-2012;false;;140912-AJA-RVN-7546-XY-IWX;RVN;AJA;advanced condition failed
XY-ZDY;26-09-2013;26-09-2013;26-09-2013;26-09-2013;false;;250913-KTW-LIL-3141-XY-ZDY;LIL;KTW;advanced condition failed
XY-LYP;29-04-2016;29-04-2016;29-04-2016;29-04-2016;false;;280416-ABZ-EVN-8121-XY-LYP;EVN;ABZ;advanced condition failed
XY-NMY;20-07-2011;20-07-2011;20-07-2011;20-07-2011;false;;190711-ZAZ-BGO-7696-XY-NMY;BGO;ZAZ;advanced condition failed
XY-LQZ;21-02-2014;21-02-2014;21-02-2014;21-02-2014;false;;200214-HER-AAR-8133-XY-LQZ;AAR;HER;advanced condition failed
XY-OZH;02-08-2013;02-08-2013;02-08-2013;02-08-2013;false;;010813-MXP-KRS-8997-XY-OZH;KRS;MXP;advanced condition failed
XY-NMY;31-05-2016;31-05-2016;31-05-2016;31-05-2016;false;;300516-DLM-VNO-4432-XY-NMY;VNO;DLM;advanced condition failed
XY-YAZ;12-01-2015;12-01-2015;12-01-2015;12-01-2015;false;;110115-OSL-VNO-5334-XY-YAZ;VNO;OSL;advanced condition failed
XY-ZWJ;11-08-2010;11-08-2010;11-08-2010;11-08-2010;false;;100810-SOU-BRN-6289-XY-ZWJ;BRN;SOU;advanced condition failed
XY-OZH;25-02-2014;25-02-2014;25-02-2014;25-02-2014;false;;240214-VST-XRY-1739-XY-OZH;XRY;VST;advanced condition failed
XY-LQZ;08-01-2016;08-01-2016;08-01-2016;08-01-2016;false;;070116-OST-ALA-1292-XY-LQZ;ALA;OST;advanced condition failed
XY-ALV;25-05-2013;25-05-2013;25-05-2013;25-05-2013;false;;240513-LIL-SPU-8923-XY-ALV;SPU;LIL;advanced condition failed
XY-FBA;26-09-2015;26-09-2015;26-09-2015;26-09-2015;false;;250915-OLB-PFO-6818-XY-FBA;PFO;OLB;advanced condition failed
XY-FBA;11-09-2013;11-09-2013;11-09-2013;11-09-2013;false;;100913-WRO-KLU-8918-XY-FBA;KLU;WRO;advanced condition failed
XY-YTM;06-09-2014;06-09-2014;06-09-2014;06-09-2014;false;;050914-OLB-OST-8917-XY-YTM;OST;OLB;advanced condition failed
XY-OZH;18-10-2011;18-10-2011;18-10-2011;18-10-2011;false;;171011-FAO-PSA-7612-XY-OZH;PSA;FAO;advanced condition failed
XY-LQZ;02-04-2011;02-04-2011;02-04-2011;02-04-2011;false;;010411-SZG-SKG-7474-XY-LQZ;SKG;SZG;advanced condition failed
XY-IOO;17-09-2011;17-09-2011;17-09-2011;17-09-2011;false;;160911-HER-FDH-8947-XY-IOO;FDH;HER;advanced condition failed
XY-YTM;02-06-2012;02-06-2012;02-06-2012;02-06-2012;false;;010612-ADA-DUS-1589-XY-YTM;DUS;ADA;advanced condition failed
XY-LYP;03-08-2013;03-08-2013;03-08-2013;03-08-2013;false;;020813-SPU-INN-7351-XY-LYP;INN;SPU;advanced condition failed
XY-LYP;17-10-2010;17-10-2010;17-10-2010;17-10-2010;false;;161010-XRY-NRN-8674-XY-LYP;NRN;XRY;advanced condition failed
XY-NMY;25-11-2016;25-11-2016;25-11-2016;25-11-2016;false;;241116-DME-SNN-1963-XY-NMY;SNN;DME;advanced condition failed
XY-OFW;21-07-2011;21-07-2011;21-07-2011;21-07-2011;false;;200711-AJA-LGG-1936-XY-OFW;LGG;AJA;advanced condition failed
XY-IOO;09-09-2012;09-09-2012;09-09-2012;09-09-2012;false;;080912-SUF-SXF-8416-XY-IOO;SXF;SUF;advanced condition failed
XY-PZC;19-04-2010;19-04-2010;19-04-2010;19-04-2010;false;;180410-BOO-LTN-3642-XY-PZC;LTN;BOO;advanced condition failed
XY-OHF;23-04-2011;23-04-2011;23-04-2011;23-04-2011;false;;220411-INI-TOS-7542-XY-OHF;TOS;INI;advanced condition failed
XY-LQZ;18-08-2012;18-08-2012;18-08-2012;18-08-2012;false;;170812-KUN-TFS-5524-XY-LQZ;TFS;KUN;advanced condition failed
XY-JXR;13-10-2014;13-10-2014;13-10-2014;13-10-2014;false;;121014-SAW-IAS-2331-XY-JXR;IAS;SAW;advanced condition failed
XY-FBA;03-01-2011;03-01-2011;03-01-2011;03-01-2011;false;;020111-OUL-VIE-7733-XY-FBA;VIE;OUL;advanced condition failed
XY-IOO;26-04-2010;26-04-2010;26-04-2010;26-04-2010;false;;250410-MAH-SOU-2563-XY-IOO;SOU;MAH;advanced condition failed
XY-ZMF;01-09-2010;01-09-2010;01-09-2010;01-09-2010;false;;310810-MAN-DUB-5871-XY-ZMF;DUB;MAN;advanced condition failed
XY-ZWJ;18-05-2013;18-05-2013;18-05-2013;18-05-2013;false;;170513-SPC-OST-5932-XY-ZWJ;OST;SPC;advanced condition failed
XY-LYP;10-06-2014;10-06-2014;10-06-2014;10-06-2014;false;;090614-FKB-VST-7243-XY-LYP;VST;FKB;advanced condition failed
XY-ZMF;16-12-2011;16-12-2011;16-12-2011;16-12-2011;false;;151211-HAM-CIA-5723-XY-ZMF;CIA;HAM;advanced condition failed
XY-NMY;24-04-2015;24-04-2015;24-04-2015;24-04-2015;false;;230415-ATH-TSR-7666-XY-NMY;TSR;ATH;advanced condition failed
XY-FBA;04-01-2015;04-01-2015;04-01-2015;04-01-2015;false;;030115-BER-LJU-8139-XY-FBA;LJU;BER;advanced condition failed
XY-OFW;20-09-2016;20-09-2016;20-09-2016;20-09-2016;false;;190916-TMP-PRN-6671-XY-OFW;PRN;TMP;advanced condition failed
XY-LYP;11-10-2012;11-10-2012;11-10-2012;11-10-2012;false;;101012-NUE-DRS-8671-XY-LYP;DRS;NUE;advanced condition failed
XY-NMY;17-03-2014;17-03-2014;17-03-2014;17-03-2014;false;;160314-KGS-RUN-6891-XY-NMY;RUN;KGS;advanced condition failed
XY-PZC;12-01-2016;12-01-2016;12-01-2016;12-01-2016;false;;110116-RMU-LUG-3941-XY-PZC;LUG;RMU;advanced condition failed
XY-ALV;29-06-2015;29-06-2015;29-06-2015;29-06-2015;false;;280615-NTE-NAP-6968-XY-ALV;NAP;NTE;advanced condition failed
XY-ZWJ;18-11-2012;18-11-2012;18-11-2012;18-11-2012;false;;171112-NOC-CDG-2279-XY-ZWJ;CDG;NOC;advanced condition failed
XY-LYP;19-02-2010;19-02-2010;19-02-2010;19-02-2010;false;;180210-CHQ-ARN-6372-XY-LYP;ARN;CHQ;advanced condition failed
XY-OFW;15-11-2016;15-11-2016;15-11-2016;15-11-2016;false;;141116-DRS-TGD-6747-XY-OFW;TGD;DRS;advanced condition failed
XY-FBA;27-09-2015;27-09-2015;27-09-2015;27-09-2015;false;;260915-WAW-ABZ-3572-XY-FBA;ABZ;WAW;advanced condition failed
XY-OZH;30-07-2013;30-07-2013;30-07-2013;30-07-2013;false;;290713-MRS-GOA-1634-XY-OZH;GOA;MRS;advanced condition failed
XY-NMY;28-04-2014;28-04-2014;28-04-2014;28-04-2014;false;;270414-CLJ-IST-6843-XY-NMY;IST;CLJ;advanced condition failed
XY-OHF;18-03-2015;18-03-2015;18-03-2015;18-03-2015;false;;170315-FKB-WRO-7441-XY-OHF;WRO;FKB;advanced condition failed
XY-OZH;03-10-2015;03-10-2015;03-10-2015;03-10-2015;false;;021015-WAW-KGS-2811-XY-OZH;KGS;WAW;advanced condition failed
XY-IOO;24-05-2010;24-05-2010;24-05-2010;24-05-2010;false;;230510-NAP-LPL-7695-XY-IOO;LPL;NAP;advanced condition failed
XY-IOO;28-06-2016;28-06-2016;28-06-2016;28-06-2016;false;;270616-SVO-LNZ-9711-XY-IOO;LNZ;SVO;advanced condition failed
XY-ZWJ;27-04-2015;27-04-2015;27-04-2015;27-04-2015;false;;260415-MSQ-CRL-6873-XY-ZWJ;CRL;MSQ;advanced condition failed
XY-ZMF;29-10-2015;29-10-2015;29-10-2015;29-10-2015;false;;281015-PUY-BRQ-4188-XY-ZMF;BRQ;PUY;advanced condition failed
XY-CMJ;16-05-2013;16-05-2013;16-05-2013;16-05-2013;false;;150513-CWL-VIE-7356-XY-CMJ;VIE;CWL;advanced condition failed
XY-ZDY;01-03-2011;01-03-2011;01-03-2011;01-03-2011;false;;280211-BRI-LCY-2125-XY-ZDY;LCY;BRI;advanced condition failed
XY-JXR;10-11-2015;10-11-2015;10-11-2015;10-11-2015;false;;091115-GYD-ODS-7911-XY-JXR;ODS;GYD;advanced condition failed
XY-MBJ;22-02-2016;22-02-2016;22-02-2016;22-02-2016;false;;210216-MPL-REU-1952-XY-MBJ;REU;MPL;advanced condition failed
XY-YAZ;03-02-2010;03-02-2010;03-02-2010;03-02-2010;false;;020210-HAU-LED-1626-XY-YAZ;LED;HAU;advanced condition failed
XY-MBJ;06-06-2013;06-06-2013;06-06-2013;06-06-2013;false;;050613-GRZ-CRL-2893-XY-MBJ;CRL;GRZ;advanced condition failed
XY-IWX;01-05-2013;01-05-2013;01-05-2013;01-05-2013;false;;300413-LEI-FDH-7774-XY-IWX;FDH;LEI;advanced condition failed
XY-LQZ;22-08-2013;22-08-2013;22-08-2013;22-08-2013;false;;210813-BEG-TLS-2772-XY-LQZ;TLS;BEG;advanced condition failed
XY-ZWJ;26-12-2013;26-12-2013;26-12-2013;26-12-2013;false;;251213-RMU-IAS-6922-XY-ZWJ;IAS;RMU;advanced condition failed
XY-YTM;21-03-2015;21-03-2015;21-03-2015;21-03-2015;false;;200315-AHO-JER-9149-XY-YTM;JER;AHO;advanced condition failed
XY-IOO;23-09-2012;23-09-2012;23-09-2012;23-09-2012;false;;220912-KBP-BLL-9153-XY-IOO;BLL;KBP;advanced condition failed
XY-OFW;06-06-2012;06-06-2012;06-06-2012;06-06-2012;false;;050612-ODS-BMA-1595-XY-OFW;BMA;ODS;advanced condition failed
XY-OZH;01-04-2014;01-04-2014;01-04-2014;01-04-2014;false;;310314-VRN-MPL-2427-XY-OZH;MPL;VRN;advanced condition failed
XY-IWX;10-10-2016;10-10-2016;10-10-2016;10-10-2016;false;;091016-CIY-LPL-3235-XY-IWX;LPL;CIY;advanced condition failed
XY-IWX;16-12-2014;16-12-2014;16-12-2014;16-12-2014;false;;151214-TZX-DLM-3974-XY-IWX;DLM;TZX;advanced condition failed
XY-LQZ;25-01-2011;25-01-2011;25-01-2011;25-01-2011;false;;240111-MSQ-POZ-7652-XY-LQZ;POZ;MSQ;advanced condition failed
XY-IWX;13-03-2012;13-03-2012;13-03-2012;13-03-2012;false;;120312-OTP-NTE-9634-XY-IWX;NTE;OTP;advanced condition failed
XY-PZC;22-08-2010;22-08-2010;22-08-2010;22-08-2010;false;;210810-CHQ-OUL-3731-XY-PZC;OUL;CHQ;advanced condition failed
XY-OHF;31-08-2015;31-08-2015;31-08-2015;31-08-2015;false;;300815-PDL-LTN-7672-XY-OHF;LTN;PDL;advanced condition failed
XY-OZH;04-05-2015;04-05-2015;04-05-2015;04-05-2015;false;;030515-EVN-MLA-2825-XY-OZH;MLA;EVN;advanced condition failed
XY-YAZ;20-07-2014;20-07-2014;20-07-2014;20-07-2014;false;;190714-ACE-HUY-5815-XY-YAZ;HUY;ACE;advanced condition failed
XY-LQZ;30-05-2014;30-05-2014;30-05-2014;30-05-2014;false;;290514-CRL-PIK-9812-XY-LQZ;PIK;CRL;advanced condition failed
